universal absence precedence existence response
0.14 0.09 0.2 0.07 0.5
all 0.069 0 0 0 0.0374
always 0.2759 0.2632 0.0488 0.0714 0.1308
any 0.1034 0 0.0244 0.1429 0.028
contingency 0.1034 0 0 0 0
continuous 0.0345 0 0 0 0
continuously 0.069 0 0 0 0
correspond 0.0345 0 0 0 0
each 0.1034 0 0 0 0.0187
every 0.1034 0 0.0244 0 0.0187
hold 0.0345 0 0.0488 0 0.0093
if 0.069 0.1579 0.0732 0 0.486
implies 0.0345 0 0 0 0
no 0.0345 0.1579 0 0 0
not 0.0345 0.1053 0.2683 0 0.1215
only 0.0345 0 0.1951 0 0
or 0.0345 0.0526 0.0244 0.0714 0.0935
shall 0.1379 0.1053 0.0732 0 0.0748
single 0.069 0 0 0 0
than 0.069 0.0526 0.0244 0 0
then 0.069 0.1053 0 0 0.5234
when 0.069 0 0.0976 0 0.3178
will 0.0345 0 0.1707 0.1429 0.3832
never 0 0.3158 0 0 0.028
same 0 0.2105 0 0 0.0093
should 0 0.0526 0.0732 0 0.0935
without 0 0.0526 0.0732 0 0
precedes 0 0 0.2195 0 0.0093
unless 0 0 0.1707 0 0
until 0 0 0.2439 0 0
correctly 0 0 0 0.1429 0
eventually 0 0 0 0.3571 0.1682
point 0 0 0 0.1429 0
some 0 0 0 0.1429 0
exists 0 0 0 0 0.0093
